GEO_ID,NAME,Median Age,Median Age_MOE,Median Age (Male),Median Age (Male)_MOE,Median Age (Female),Median Age (Female)_MOE
1500000US010890108013,Block Group 3; Census Tract 108.01; Madison County; Alabama,51.7,3.6,48.3,17.6,53.8,17.3
1500000US010890108021,Block Group 1; Census Tract 108.02; Madison County; Alabama,57.6,7.6,61.6,17.1,54.6,18.2
1500000US010890108022,Block Group 2; Census Tract 108.02; Madison County; Alabama,38.8,18.7,44.6,19.8,38,22.6
1500000US010890108023,Block Group 3; Census Tract 108.02; Madison County; Alabama,57.7,18.3,52.6,18.5,64.4,21
1500000US010890109021,Block Group 1; Census Tract 109.02; Madison County; Alabama,37.5,12.4,38.1,11.2,36.8,19.3
1500000US010890109022,Block Group 2; Census Tract 109.02; Madison County; Alabama,54.4,9.9,49.8,17.7,57,9.6
1500000US010890109023,Block Group 3; Census Tract 109.02; Madison County; Alabama,59.8,6.5,51.7,21.1,61.5,7.5
1500000US010890109031,Block Group 1; Census Tract 109.03; Madison County; Alabama,35.4,5.1,35.5,3.2,32.9,17.8
1500000US010890109032,Block Group 2; Census Tract 109.03; Madison County; Alabama,35,18.3,31.8,15.8,44.7,24.8
1500000US010890109033,Block Group 3; Census Tract 109.03; Madison County; Alabama,30.4,11.2,34.8,13.9,30,11.7
1500000US010890109041,Block Group 1; Census Tract 109.04; Madison County; Alabama,43.3,5.4,42,4.9,44.5,6.2
1500000US010890109042,Block Group 2; Census Tract 109.04; Madison County; Alabama,47.1,8.5,47.2,13.6,46.7,10.3
1500000US010890109051,Block Group 1; Census Tract 109.05; Madison County; Alabama,46.9,9.6,44.6,10.4,48.2,8.5
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,50.4,14.2,53.4,13.5,48.5,16.5
1500000US010890109053,Block Group 3; Census Tract 109.05; Madison County; Alabama,46.2,9.5,45.2,9.8,49.5,9.9
1500000US010890110121,Block Group 1; Census Tract 110.12; Madison County; Alabama,46.7,12.4,54.9,11.9,41.1,9.7
1500000US010890110122,Block Group 2; Census Tract 110.12; Madison County; Alabama,51.1,14.2,44.6,17.5,54.8,11.3
1500000US010890110123,Block Group 3; Census Tract 110.12; Madison County; Alabama,36.9,4.2,37,5.6,36.7,8.5
1500000US010890110131,Block Group 1; Census Tract 110.13; Madison County; Alabama,46.8,7.5,40.3,6.7,49.7,6.2
1500000US010890110132,Block Group 2; Census Tract 110.13; Madison County; Alabama,44.5,4.1,44.4,6.8,44.7,3.6
1500000US010890110133,Block Group 3; Census Tract 110.13; Madison County; Alabama,43.2,6.6,44.5,17.8,43.1,7
1500000US010890110211,Block Group 1; Census Tract 110.21; Madison County; Alabama,35.9,12.4,35.6,12.1,41.1,15.5
1500000US010890110212,Block Group 2; Census Tract 110.21; Madison County; Alabama,36.5,12.2,28.9,4.6,45.1,19.7
1500000US010890110213,Block Group 3; Census Tract 110.21; Madison County; Alabama,31.2,4.1,27.3,9.4,31.4,2.7
1500000US010890110231,Block Group 1; Census Tract 110.23; Madison County; Alabama,36.5,11.1,40.5,19.4,36.3,12.1
1500000US010890110232,Block Group 2; Census Tract 110.23; Madison County; Alabama,49.3,13.6,43,18.8,50.4,8.6
